,index,Text,bb,bt,tt
23,261,"• identify, analyse, and interpret trends or patterns in complex data sets
• locate and define new process improvement opportunities

candidate attributes:
• excellent excel capabilities and presentational skills
• an analytical degree and a demonstrable passion for data led thinking
• a strong analytical toolkit that enables you to interrogate data quickly and independently - excellent sql, excel, and data visualisation skills
• self-motivated individual
• adept at queries, report writing and presenting findings
• genuine interest in residential property.",0.0,0.0,1.0
39,3024,"experience of productionising ml models: kubernetes, docker, airflow etc.",0.0,0.0,1.0
40,1934,an important component of this effort is building a large-scale knowledge base where multimodal information from various structured and unstructured sources can be jointly explored and leveraged.,0.0,0.0,1.0
64,2162,works with unstructured/semi structured data to extract useful analytic measures from the data flows.,0.0,0.0,1.0
99,319,"you'll fit in well if you...

&#128587;&#127995;‍♀️ are trustworthy, honest and operate with a high degree of integrity;
&#129406; are curious about new technologies and pragmatic about getting things done;
&#128105;&#127996;‍⚕️ are meticulous, exacting, precise and care about delivering to a high standard;
&#129299; have experience of using a bi tools and knowledge of a language such as sql, r, matlab, python, or julia;
&#128170;&#127998; are bright, outgoing, intelligent and a great communicator with a track record of success in whatever it is you do; and
&#128736; have excellent analysis skills with the ability to manipulate and interpret data, make recommendations and see them through to implementation.",0.0,0.0,1.0
140,2157,"they apply analytical rigour and statistical methods to data and are comfortable manipulating and analysing complex, high-volume, and high-dimensionality data from varying sources.",0.0,0.0,1.0
194,2354,"build and deliver analytical solutions by analysing large and complex data sets using multiple technologies (bigquery, gcp, python, r, spark)
visualise and deliver analytical results in insightful, interesting and interactive ways using various technologies (jupyter notebooks, leaflet, d3js, qlik, kibana, tableau…).",0.0,0.0,1.0
236,1086,"identifying improvement opportunities by understanding the specific business area’s value drivers and defining needs to help recommend value-driven solutions to key stakeholders


qualifications 

skills & experience
demonstrable knowledge of data management theory
a good understanding of data deliverables (insight, visualisations, reporting outputs, data extracts etc) and best practice options for delivery
able to navigate and query using sql.",0.0,0.0,1.0
258,2448,"key responsibilities
develop modeling, simulation, and validation tools to support our ai production team.",0.0,0.0,1.0
268,2504,data curation: integrating data from different sources including the first party mobile app data and some third-party public data.,0.0,0.0,1.0
295,1950,coordinate with different functional teams to implement models and monitor outcomes.,0.0,0.0,1.0
346,93,"www.datais.energy 
position purpose:
we rely on data scientists to run a wide range of machine learning methods monitoring for efficacy and degradation, continually improving our forecasting and relationship discovery.",0.0,0.0,1.0
382,2835,work closely with engineering/infrastructure teams to help transition models from development to production.,0.0,0.0,1.0
383,1119,"provide analysis and projections as requested and investigate patterns and trends in data; and use problem solving, analytical and communications skills to identify possible explanations.",0.0,0.0,1.0
392,690,"they are looking for a creative and experienced machine learning data scientist with commercial experience of building ml models and implementing them (target language is python, or possibly r, but happy to cross train from java, c++, c# etc) into sophisticated applications.",0.0,0.0,1.0
410,2150,"produce high quality analyses: apply rigor in study design and analytical methods; plan for data processing; design a fit-for-purpose analysis plan, assess effective ways of presenting and delivering the results to maximize impact and interpretability; implement and/or oversee the study, including its reporting; ensure compliance with applicable pharma industry regulations and standards.",0.0,0.0,1.0
413,2315,"we are a team of data scientists, analysts and software developers working collaboratively to provide bespoke analysis and software solutions across the global business.",0.0,0.0,1.0
443,982,"we are looking for a focused and committed individual that enjoys writing optimal and performant sql code, building the ‘best in class’ data products and supporting and engaging with the wider analyst community and stakeholders.",0.0,0.0,1.0
492,690,"they are looking for a creative and experienced machine learning data scientist with commercial experience of building ml models and implementing them (target language is python, or possibly r, but happy to cross train from java, c++, c# etc) into sophisticated applications.",0.0,0.0,1.0
498,1487,"working to monthly deadlines, collate regular data quality reports, as agreed with the head of quality and data or relevant data asset owner, to establish any issues with data integrity and liaise with relevant individuals and managers to identify steps required to improve data quality.",0.0,0.0,1.0
506,1735,using business intelligence tools to present analysed data in a dynamic and informative model.,0.0,0.0,1.0
